t_years,specialisation_margin_automation_composite,specialisation_margin_new_task_composite,tax_margin,tax_speed_margin,transfer_margin,net_rental_tax_base_margin
13.5,1.0451803052301574,0.5798196947698426,0.44805972974121855,0.4987924699651659,0.019548803790151503,0.039932412543246795
13.75,1.0452328807353037,0.5797671192646964,0.44776180512910424,0.49882424898655214,0.019521814774940915,0.03992450861005567
14.0,1.0452747808467509,0.5797252191532491,0.4474719079345104,0.4988566726147772,0.01949678840815161,0.03991764128151638
14.25,1.0453065626134292,0.5796934373865705,0.4471901870428793,0.4988896437171751,0.019473740441923765,0.039911756595638545
14.5,1.0453287597543293,0.5796712402456708,0.44691676779232037,0.4989230709976836,0.019452456467321882,0.03990680295769143
14.75,1.045341883655924,0.579658116344076,0.44665175339526275,0.49895686869858574,0.019432949903248536,0.039902731032929475
15.0,1.0453464243228092,0.5796535756771907,0.44639522628744555,0.49899095631832885,0.019415027063259427,0.03989949364461334
15.25,1.04534285128379,0.5796571487162099,0.4461472494082641,0.49902525834440686,0.019398699319409213,0.03989704567705561
15.5,1.0453316144555596,0.5796683855444404,0.44590786741612565,0.49905970400038513,0.019383791685610996,0.03989534398343493
15.75,1.0453131449660273,0.5796868550339725,0.44567710784223646,0.4990942270062114,0.01937031374363063,0.03989434729813433
16.0,1.0452878559392742,0.5797121440607257,0.4454549821860463,0.4991287653510165,0.019358107387090318,0.039894016153369
16.25,1.0452561432439929,0.5797438567560071,0.4452414869553746,0.49916326107766096,0.019347180637119515,0.03989431279988544
16.5,1.045218386207226,0.579781613792774,0.4450366046540697,0.49919766007833666,0.01933739062746198,0.03989520113152008
16.75,1.0451749482950987,0.5798250517049012,0.4448403047198831,0.49923191190057786,0.0193287440239788,0.03989664661341964
17.0,1.045126177762184,0.579873822237816,0.4446525444150834,0.4992659695630786,0.019321111723756806,0.039898616213732974
17.25,1.0450724082710439,0.579927591728956,0.44447326967219236,0.49929978938075575,0.019314499220707937,0.0399010783385967
17.5,1.045013959483445,0.5799860405165551,0.4443024158970871,0.49933333079853104,0.019308789844938473,0.03990400277024242
17.75,1.0449511376246337,0.5800488623753662,0.4441399087315855,0.4993665562333419,0.01930398808192385,0.039907360608065975
18.0,1.0448842360220358,0.5801157639779643,0.44398566477751633,0.499399430923922,0.01929998849608286,0.03991112421250459
18.25,1.0448135356196386,0.5801864643803613,0.44383959228415903,0.4994319227879214,0.01929679470996362,0.03991526715157642
18.5,1.0447393054692775,0.5802606945307225,0.4437015918008399,0.4994640022859644,0.01929431144204949,0.03991976414994644
18.75,1.0446618031999813,0.5803381968000185,0.4435715567963696,0.4994956422922683,0.019292541581272832,0.03992459104038598
19.0,1.0445812754664683,0.5804187245335319,0.44344937424691966,0.4995268179714695,0.01929139902636845,0.03992972471750425
19.25,1.0444979583778353,0.5805020416221648,0.443334925193845,0.4995575066613259,0.01929088604737983,0.03993514309363319
19.5,1.0444120779074364,0.5805879220925638,0.4432280852728857,0.49958768776098533,0.019290924845261792,0.03994082505675568
19.75,1.044323850284878,0.580676149715122,0.44312872521610025,0.4996173426245268,0.019291517172643824,0.03994675043037087
20.0,1.0442334823710362,0.5807665176289639,0.44303671132781386,0.49964645445950223,0.019292592740831838,0.03995289993519753
20.25,1.0441411720169276,0.5808588279830724,0.4429519059358018,0.4996750082302201,0.01929415287467634,0.03995925515262139
20.5,1.0440471084072562,0.5809528915927438,0.4428741678188598,0.49970299056552847,0.019296134081488836,0.03996579848979563
20.75,1.0439514723893746,0.5810485276106253,0.4428033526118589,0.49973038967087086,0.0192985373371993,0.0399725131463117
21.0,1.0438544367884055,0.5811455632115945,0.44273931318932647,0.49975719524439927,0.01930130530050239,0.039979383082358655
21.25,1.0437561667091884,0.5812438332908118,0.4426819000285409,0.49978339839694325,0.019304438667691576,0.03998639298829594
21.5,1.0436568198257168,0.5813431801742832,0.4426309615530811,0.49980899157564407,0.019307885666949243,0.039993528255567526
21.75,1.0435565466586736,0.5814434533413265,0.4425863444577234,0.49983396849107536,0.019311646775493296,0.04000077494888912
22.0,1.0434554908416465,0.5815445091583535,0.44254789401553685,0.49985832404768066,0.019315675265631327,0.0400081197796448
