model,family,regime,impact_object,coefficient_cos,coefficient_sin,amplitude,zero_angle_1_deg,zero_angle_2_deg,maximizing_angle_deg,positive_arc_start_deg,positive_arc_end_deg,dz_per_dalpha_at_zero,standardized_productivity_per_standardized_automation_at_zero
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,government_primary_cash_flow_deviation_linear,5.109176888061403e-05,-0.0002650995603150112,0.000269978046749291,190.90867757954555,10.908677579545554,280.90867757954555,190.90867757954555,10.908677579545554,22.435741770962068,5.188694111070392
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,tax_adjustment_cost_deviation_first_order,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,risky_position_deviation,0.0011190786409591112,-0.001318778052248675,0.0017295989580662047,220.31701622963988,40.317016229639876,310.3170162296399,220.31701622963988,40.317016229639876,5.09557816897581,1.1784498461327175
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,safe_position_deviation,-0.0011190786409591084,0.0013187780522486766,0.001729598958066204,40.31701622963978,220.3170162296398,130.3170162296398,40.31701622963979,220.3170162296398,5.095578168975827,1.1784498461327215
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,output_exogenous_state_component,0.0005792896389915866,0.00013910214658037988,0.0005957565719539082,283.50252576102054,103.50252576102054,13.50252576102054,283.50252576102054,103.50252576102054,-1.0382942174102636,-0.24012538325823574
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,wage_income_exogenous_state_component,0.00038233116173444715,-4.2164384551703074e-05,0.000384649129152577,263.70671712222395,83.70671712222395,353.70671712222395,263.70671712222395,83.70671712222395,0.476857297741252,0.110282364535562
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,fiscal_resources_exogenous_state_component,0.00048081040036301685,4.846888101433842e-05,0.00048324721781302236,275.7563489553729,95.75634895537291,5.756348955372925,275.7563489553729,95.75634895537293,-0.43588457885604825,-0.10080664015949725
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,rental_rate_exogenous_state_component,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,planner_resource_wealth_exogenous_state_component,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,claim_loading_state_functional,0.001635794186284235,0.001505468268860834,0.0022231188291290545,312.62425292319114,132.62425292319114,42.62425292319116,312.62425292319114,132.62425292319116,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,claim_payoff_impact,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,domestic_planner_resource_wealth_contribution_impact,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,z_deviation,0.023457195058233196,1.4363389422520197e-18,0.023457195058233196,270.0,90.0,3.508354649267438e-15,270.0,90.0,7.942998399448099e-16,1.8369701987210297e-16
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,x_deviation,0.0,0.07806247497997999,0.07806247497997999,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,alpha_deviation_linear,0.0,0.0058546856234984995,0.0058546856234984995,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,log_capital_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,capital_deviation_linear,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,tax_rate_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,tax_speed,-0.003267710124521396,-0.005556668686568075,0.006446277712772373,149.54149185811767,329.54149185811764,239.5414918581177,149.5414918581177,329.5414918581177,-7.35280999619673,-1.700477849877192
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,capital_growth_drift_deviation,0.001412186648580777,0.0014026357761068643,0.0019903914818057054,314.8055925025347,134.8055925025347,44.80559250253468,314.8055925025347,134.8055925025347,-4.294723168160779,-0.9932368200170207
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,output_deviation_linear,0.008306980285769277,0.00215273769634541,0.00858138689591758,284.5284841101777,104.52848411017771,14.528484110177748,284.5284841101777,104.52848411017774,-1.12054757541687,-0.2591480444504331
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,rental_rate_deviation_linear,0.002824373297161554,0.0028052715522137285,0.003980782963611411,314.8055925025347,134.8055925025347,44.80559250253468,314.8055925025347,134.8055925025347,-4.294723168160779,-0.9932368200170207
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,wage_income_deviation_linear,0.005482606988607723,-0.0006525338558683181,0.005521302366705216,263.2126478864193,83.21264788641929,353.2126478864193,263.2126478864193,83.21264788641929,0.5146337905421128,0.11901890053841485
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,tax_base_deviation_linear,0.002824373297161554,0.0028052715522137285,0.003980782963611411,314.8055925025347,134.8055925025347,44.80559250253468,314.8055925025347,134.8055925025347,-4.294723168160779,-0.9932368200170207
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,tax_revenue_deviation_linear,0.001412186648580777,0.0014026357761068643,0.0019903914818057054,314.8055925025347,134.8055925025347,44.80559250253468,314.8055925025347,134.8055925025347,-4.294723168160779,-0.9932368200170207
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,fiscal_resources_deviation_linear,0.0068947936371885,0.0007501019202385462,0.006935476349189043,276.2089327076292,96.20893270762917,6.208932707629151,276.2089327076292,96.20893270762915,-0.47041522509583034,-0.10879251210546989
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,planner_resource_wealth_deviation,0.30501558514994664,0.240203902491857,0.3882427358711067,308.2209108010265,128.2209108010265,38.22091080102652,308.22091080102655,128.22091080102652,-3.4051824973782567,-0.787513537623895
automation_persistence_0.95,finite_window_ou_state_displacement,no_inherited_payoff,planner_resource_wealth_wage_component_deviation,0.2794879724929723,0.21026337232020503,0.3497487848552123,306.95474230901107,126.95474230901107,36.95474230901106,306.95474230901107,126.95474230901107,-3.2529910371402697,-0.752316353525703
